PlateWell,Relative_Time_unshifted,file_path,file,p1,p2,p3,predicted_count,cell_density,total_cells_in_well,predicted_confluency,mean_area_per_mask,median_area_per_mask,lower_quartile_area_per_mask,upper_quartile_area_per_mask,Well,Row,Column,Plate,Neighbors,Group-Line_Treatment,Group-Line,Group-Treatment,combined_group,Relative Time (hrs),Merged Time,exp_rate_cell_density,logistic_k_CV_fit_cell_density,logistic_k_corr_fit_cell_density,cell_density_p0
plate2-1B10,0.0,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-1_Day1_20250515_144427/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\B10_pos1_merged_02_cp_masks.png,B10_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-1_Day1_20250515_144427,1957.888888888889,101480.72243493378,32473.83117917881,0.14844835051943606,301.1849252940564,288.77777777777777,187.91666666666666,394.5,B10,B,10.0,plate2-1,5.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,101480.72243493378
plate2-2C8,0.7458333333333333,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-2_Day1_20250515_152912/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\C8_pos1_merged_02_cp_masks.png,C8_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-2_Day1_20250515_152912,2587.0,134088.6249618389,42908.359987788455,0.189664783632522,295.95724252893007,267.5,163.30555555555554,393.6666666666667,C8,C,8.0,plate2-2,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,134088.6249618389
plate2-2C7,0.7458333333333333,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-2_Day1_20250515_152912/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\C7_pos1_merged_02_cp_masks.png,C7_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-2_Day1_20250515_152912,2504.5555555555557,129815.38870698836,41540.92438623628,0.18851549661385386,306.12522859716296,281.22222222222223,175.30555555555554,405.6666666666667,C7,C,7.0,plate2-2,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,129815.38870698836
plate2-2C9,0.7458333333333333,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-2_Day1_20250515_152912/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\C9_pos1_merged_02_cp_masks.png,C9_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-2_Day1_20250515_152912,2117.777777777778,109768.03641165869,35125.771651730785,0.17198148909784605,323.20219156062035,299.0,190.86111111111111,424.47222222222223,C9,C,9.0,plate2-2,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,109768.03641165869
plate2-2C11,0.7458333333333333,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-2_Day1_20250515_152912/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\C11_pos1_merged_02_cp_masks.png,C11_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-2_Day1_20250515_152912,2445.4444444444443,126751.55893935972,40560.498860595115,0.19027241272094175,310.7051478321245,281.27777777777777,167.5,414.55555555555554,C11,C,11.0,plate2-2,5.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,126751.55893935972
plate2-2C10,0.7458333333333333,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-2_Day1_20250515_152912/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\C10_pos1_merged_02_cp_masks.png,C10_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-2_Day1_20250515_152912,2233.6666666666665,115774.75529819385,37047.92169542203,0.17731512842982813,317.72909685288334,291.22222222222223,178.33333333333334,420.9166666666667,C10,C,10.0,plate2-2,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,115774.75529819385
plate2-3D10,1.6919444444444445,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-3_Day1_20250515_162558/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\D10_pos1_merged_02_cp_masks.png,D10_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-3_Day1_20250515_162558,2249.1111111111113,116575.26721116451,37304.08550757264,0.17175005801877744,311.56943259040116,290.6666666666667,192.66666666666666,409.8333333333333,D10,D,10.0,plate2-3,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,116575.26721116451
plate2-3D11,1.6919444444444445,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-3_Day1_20250515_162558/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\D11_pos1_merged_02_cp_masks.png,D11_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-3_Day1_20250515_162558,2335.5555555555557,121055.83029239588,38737.86569356669,0.1814801598182108,314.2805426401934,291.6111111111111,191.5,413.69444444444446,D11,D,11.0,plate2-3,5.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,121055.83029239588
plate2-3D9,1.6919444444444445,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-3_Day1_20250515_162558/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\D9_pos1_merged_02_cp_masks.png,D9_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-3_Day1_20250515_162558,2553.222222222222,132337.8650946225,42348.11683027921,0.188910007499879,304.3667929597755,283.0,176.94444444444446,404.05555555555554,D9,D,9.0,plate2-3,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,132337.8650946225
plate2-3D8,1.6919444444444445,E:\MERGED_20250515_RGF_ISO_SAG_GROWTH_ROUND2\plate2-3_Day1_20250515_162558/model_outputs/2024_03_29_02_03_10.875324_epoch_960_0.4_0\D8_pos1_merged_02_cp_masks.png,D8_pos1_merged_02_cp_masks.png,2024_03_29_02_03_10.875324_epoch_960_0.4_0,model_outputs,plate2-3_Day1_20250515_162558,2453.3333333333335,127160.45351361093,40691.345124355495,0.19141562344872573,315.8690701010747,289.94444444444446,180.52777777777777,420.22222222222223,D8,D,8.0,plate2-3,8.0,CTL_0.01uM,CTL,0.01uM,CTL_0.01uM_CTL_0.01uM,0.0,0.0,,,,127160.45351361093
